Date,sessions/users
2018-01-01,0.0000
2018-01-02,1.0000
2018-01-03,1.0000
2018-01-04,1.0000
2018-01-05,1.0000
2018-01-06,0.0000
2018-01-07,0.0000
2018-01-08,0.0000
2018-01-09,1.0000
2018-01-10,1.0000
2018-01-11,0.0000
2018-01-12,0.0000
2018-01-13,0.0000
2018-01-14,0.0000
2018-01-15,0.0000
2018-01-16,1.0000
2018-01-17,1.0000
2018-01-18,1.0000
2018-01-19,1.0000
2018-01-20,0.0000
2018-01-21,0.0000
2018-01-22,0.0000
2018-01-23,1.0000
2018-01-24,1.0000
2018-01-25,1.0000
2018-01-26,1.0000
2018-01-27,0.0000
2018-01-28,0.0000
2018-01-29,0.0000
2018-01-30,1.0000
2018-01-31,1.0000
2018-02-01,1.1111
2018-02-02,0.0000
2018-02-03,0.0000
2018-02-04,1.0000
2018-02-05,0.0000
2018-02-06,1.0000
2018-02-07,1.1333
2018-02-08,1.0000
2018-02-09,1.0000
2018-02-10,1.1250
2018-02-11,1.1667
2018-02-12,1.0000
2018-02-13,1.0800
2018-02-14,1.0156
2018-02-15,1.0513
2018-02-16,1.0541
2018-02-17,1.0714
2018-02-18,1.1538
2018-02-19,1.0714
2018-02-20,1.1053
2018-02-21,1.0313
2018-02-22,1.1786
2018-02-23,1.0417
2018-02-24,1.0000
2018-02-25,1.0833
2018-02-26,1.1111
2018-02-27,1.0714
2018-02-28,1.1373
2018-03-01,1.0741
2018-03-02,1.1250
2018-03-03,1.1622
2018-03-04,1.1364
2018-03-05,1.0588
2018-03-06,1.0789
2018-03-07,1.1395
2018-03-08,1.0417
2018-03-09,1.1667
2018-03-10,1.2632
2018-03-11,1.1579
2018-03-12,1.0000
2018-03-13,1.1111
2018-03-14,1.0119
2018-03-15,1.0612
2018-03-16,1.1053
2018-03-17,1.2069
2018-03-18,1.2000
2018-03-19,1.1429
2018-03-20,1.0526
2018-03-21,1.1667
2018-03-22,1.3077
2018-03-23,1.1200
2018-03-24,1.2308
2018-03-25,1.1111
