DATE(d.date),stickiness
2018-01-01,NULL
2018-01-02,1.0000
2018-01-03,0.5000
2018-01-04,0.3333
2018-01-05,0.3000
2018-01-06,0.0000
2018-01-07,0.0000
2018-01-08,0.0000
2018-01-09,0.3103
2018-01-10,0.0690
2018-01-11,0.0000
2018-01-12,0.0000
2018-01-13,0.0000
2018-01-14,0.0000
2018-01-15,0.0000
2018-01-16,0.0645
2018-01-17,0.0606
2018-01-18,0.0571
2018-01-19,0.0541
2018-01-20,0.0000
2018-01-21,0.0000
2018-01-22,0.0000
2018-01-23,0.2745
2018-01-24,0.2462
2018-01-25,0.1772
2018-01-26,0.1505
2018-01-27,0.0000
2018-01-28,0.0000
2018-01-29,0.0000
2018-01-30,0.0792
2018-01-31,0.0734
2018-02-01,0.0804
2018-02-02,0.0000
2018-02-03,0.0000
2018-02-04,0.0103
2018-02-05,0.0000
2018-02-06,0.2538
2018-02-07,0.1154
2018-02-08,0.0976
2018-02-09,0.0413
2018-02-10,0.0661
2018-02-11,0.0496
2018-02-12,0.0579
2018-02-13,0.2976
2018-02-14,0.2977
2018-02-15,0.3000
2018-02-16,0.1429
2018-02-17,0.1081
2018-02-18,0.0506
2018-02-19,0.0545
2018-02-20,0.0717
2018-02-21,0.1155
2018-02-22,0.1022
2018-02-23,0.0889
2018-02-24,0.0543
2018-02-25,0.0490
2018-02-26,0.0363
2018-02-27,0.1489
2018-02-28,0.1609
2018-03-01,0.1565
2018-03-02,0.1915
2018-03-03,0.1000
2018-03-04,0.0595
2018-03-05,0.0458
2018-03-06,0.0967
2018-03-07,0.1036
2018-03-08,0.0588
2018-03-09,0.0591
2018-03-10,0.0470
2018-03-11,0.0470
2018-03-12,0.0249
2018-03-13,0.1582
2018-03-14,0.1663
2018-03-15,0.1822
2018-03-16,0.1111
2018-03-17,0.0599
2018-03-18,0.0421
2018-03-19,0.0597
2018-03-20,0.0787
2018-03-21,0.0726
2018-03-22,0.0762
2018-03-23,0.0497
2018-03-24,0.0265
2018-03-25,0.0372
2018-03-26,0.0396
2018-03-27,0.2291
2018-03-28,0.2441
2018-03-29,0.1333
2018-03-30,0.0885
2018-03-31,0.0657
2018-04-01,0.0590
2018-04-02,0.0493
2018-04-03,0.0715
2018-04-04,0.0934
2018-04-05,0.1100
2018-04-06,0.0613
2018-04-07,0.0419
2018-04-08,0.0455
2018-04-09,0.0406
2018-04-10,0.1945
2018-04-11,0.2163
2018-04-12,0.1266
2018-04-13,0.0828
2018-04-14,0.0711
2018-04-15,0.0540
2018-04-16,0.0687
2018-04-17,0.1299
2018-04-18,0.1405
2018-04-19,0.0893
2018-04-20,0.0633
2018-04-21,0.0503
2018-04-22,0.0486
2018-04-23,0.0418
2018-04-24,0.0503
2018-04-25,0.0551
2018-04-26,0.0628
2018-04-27,0.0714
2018-04-28,0.0503
2018-04-29,0.0410
2018-04-30,0.0336
2018-05-01,0.1456
2018-05-02,0.1746
2018-05-03,0.0889
2018-05-04,0.0741
2018-05-05,0.0571
2018-05-06,0.0591
2018-05-07,0.0546
2018-05-08,0.0574
2018-05-09,0.0667
2018-05-10,0.0620
2018-05-11,0.0553
2018-05-12,0.0420
2018-05-13,0.0516
2018-05-14,0.0440
2018-05-15,0.0730
2018-05-16,0.0777
2018-05-17,0.0819
2018-05-18,0.0675
2018-05-19,0.0591
2018-05-20,0.0413
2018-05-21,0.0548
2018-05-22,0.1096
2018-05-23,0.0740
2018-05-24,0.0457
2018-05-25,0.0434
2018-05-26,0.0411
2018-05-27,0.0457
2018-05-28,0.0467
2018-05-29,0.2514
2018-05-30,0.0925
2018-05-31,0.0809
2018-06-01,0.0579
2018-06-02,0.0616
2018-06-03,0.0449
2018-06-04,0.0351
2018-06-05,0.0754
2018-06-06,0.0839
2018-06-07,0.0928
2018-06-08,0.0808
2018-06-09,0.0655
2018-06-10,0.0414
2018-06-11,0.0471
2018-06-12,0.1125
2018-06-13,0.1174
2018-06-14,0.1282
2018-06-15,0.0906
2018-06-16,0.0704
2018-06-17,0.0462
2018-06-18,0.0466
2018-06-19,0.0599
2018-06-20,0.0768
2018-06-21,0.0572
2018-06-22,0.0550
2018-06-23,0.0486
2018-06-24,0.0434
2018-06-25,0.0417
2018-06-26,0.0633
2018-06-27,0.0662
2018-06-28,0.0748
2018-06-29,0.0556
2018-06-30,0.0435
2018-07-01,0.0485
2018-07-02,0.0189
2018-07-03,0.0743
2018-07-04,0.0249
2018-07-05,0.0162
2018-07-06,0.0240
2018-07-07,0.0202
2018-07-08,0.0132
2018-07-09,0.0083
2018-07-10,0.0709
2018-07-11,0.0856
2018-07-12,0.0343
2018-07-13,0.0195
2018-07-14,0.0120
2018-07-15,0.0126
2018-07-16,0.0195
2018-07-17,0.0166
2018-07-18,0.0104
2018-07-19,0.0107
2018-07-20,0.0189
2018-07-21,0.0154
2018-07-22,0.0040
2018-07-23,0.0125
2018-07-24,0.0383
2018-07-25,0.0215
2018-07-26,0.0359
2018-07-27,0.0195
2018-07-28,0.0000
2018-07-29,0.0227
2018-07-30,0.0460
2018-07-31,0.0368
2018-08-01,0.0368
2018-08-02,0.0483
2018-08-03,0.0432
2018-08-04,0.0504
2018-08-05,0.0296
2018-08-06,0.0373
2018-08-07,0.0451
2018-08-08,0.0597
2018-08-09,0.0976
2018-08-10,0.1456
2018-08-11,0.2157
2018-08-12,0.1485
2018-08-13,0.1619
2018-08-14,0.1589
2018-08-15,0.1574
2018-08-16,0.1802
2018-08-17,0.2288
2018-08-18,0.2295
2018-08-19,0.2901
2018-08-20,0.2593
2018-08-21,0.2340
2018-08-22,0.2752
2018-08-23,0.2715
2018-08-24,0.2579
2018-08-25,0.2590
2018-08-26,0.2235
2018-08-27,0.2330
2018-08-28,0.2350
2018-08-29,0.2751
2018-08-30,0.2256
2018-08-31,0.1837
2018-09-01,0.1777
2018-09-02,0.1850
2018-09-03,0.1667
2018-09-04,0.2126
2018-09-05,0.1971
2018-09-06,0.1822
2018-09-07,0.1918
2018-09-08,0.2044
2018-09-09,0.1920
2018-09-10,0.1696
2018-09-11,0.1623
2018-09-12,0.1754
2018-09-13,0.1453
2018-09-14,0.1787
2018-09-15,0.1513
2018-09-16,0.1255
2018-09-17,0.1213
2018-09-18,0.1452
2018-09-19,0.1392
2018-09-20,0.1714
2018-09-21,0.1510
2018-09-22,0.1382
2018-09-23,0.1895
2018-09-24,0.2048
2018-09-25,0.1920
2018-09-26,0.1734
2018-09-27,0.1529
2018-09-28,0.1520
2018-09-29,0.1573
2018-09-30,0.1647
2018-10-01,0.1606
2018-10-02,0.1377
2018-10-03,0.1520
